CNPJ/CPF,Incentivador,ESPORTE (Valor que pode aportar/ ano),CULTURA (valores aportados 2016),
42275677000182,Blount Industrial Ltda,46750,187000,
84432111000167,Urbano Agroindustrial Ltda,"46697,35","186789,4",
17315067000118,SCPAR Porto de Imbituba,46500,186000,
2427026000146,Aliança Navegação e Logística Ltda. ,46500,186000,
11932017000101,Standard Chartered Bank (Brasil) S.A. - Banco de Investimento,46250,185000,
5685590000157,VULT COMERCIO DE COSMETICOS LTDA,"45912,52","183650,07",
22447684000107,D' Granel Transportes e Comercio Ltda,"45806,09","183224,34",
82845322000104,Sofptlan e Sistemas Ltda.,45500,182000,
9080907000182,GENOMMA LABORATORIES DO BRASIL LTDA. ,45500,182000,
50948371000178,Irmãos Boa Ltda,"45431,25",181725,
19791896000283,SHV Gás Brasil Ltda.,45250,181000,
80851439000167,LCA Indústria e Comércio de Produtos Alimentícios Ltda.,45245,180980,
25630302000174,Real Moto Peças Ltda,45000,180000,
10198974000347,Plena Alimentos Ltda.,45000,180000,
49336860000190,ING Bank N. V., Filial de São Paulo.,45000,180000
81611931000128,OESA COMÉRCIO E REPRESENTAÇÃO LTDA.  ,45000,180000,
1554846000136,Tramontina TEEC S/A,45000,180000,
36193928000187,Teadit Indústria e Comércio Ltda,45000,180000,
27053230000175,Banestes Seguros S/A,45000,180000,
76204130000108,FOSPAR S.A.,45000,180000,
6142225000169,PrincewaterhouseCoopers Contadores Públicos Ltda.,45000,180000,
58113812000123,EMBRACON ADMINISTRADORA DE CONSORCIO LTDA ,45000,180000,
92016757000191,Comercial de Cereais Zaffari Ltda,45000,180000,
87834883000113,Tramontina Farroupilha S.A - Ind. Met.,45000,180000,
62058318000776,BUD COMERCIO DE ELETRODOMESTICOS LTDA,45000,180000,
60498557000126,Banco de Tokyo-Mitsubishi UFJ Brasil SA.,45000,180000,
91108027000158,Randon Sistemas de Aquisição S/C Ltda,"44237,5",176950,
79233672000105,ROVITEX INDUSTRIA E COMERCIO DE MALHAS LTDA,44190,176760,
15630064000143,BELOV ENGENHARIA LTDA,43750,175000,
84586205000190,Scherer S/A Comércio de Auto Peças,43750,175000,
1466091000118,Ciapetro Distribuidora de Combustiveis Ltda.,43500,174000,
7912062000119,USINA LAGUNA - ALCOOL E ACUCAR LTDA  - ME,"43356,55","173426,2",
91830836000179,Olfar Indústria  e Comércio de Óleo Vegetais  Ltda,43145,172580,
3460864000184,Rede Lajeado Energia S.A,42750,171000,
2222736000130,Empresa Concessionária de Rodovias do Norte S.A - Econorte,42500,170000,
4518259000180,Electra Comercializadora de Energia Ltda.,42500,170000,
986846000142,ST JUDE MEDICAL BRASIL LTDA ,42500,170000,
2905424000120,AGV Logistica Ltda,42500,170000,
46842894000168,Casa di Conti Ltda.,42500,170000,
70940994000101,Panduratta Alimentos Ltda,42500,170000,
33193996000158,Mip Engenharia S/A,42500,170000,
6040559000121,"Krediling S/A Crédito, Financiamento e Investimento",42500,170000,
52502945000105,Metalúrgica Mococa S.A,41750,167000,
6538082000109,Rebiere Ingredientes Alimentícios Ltda,41300,165200,
77887412000110,Deycon Comercio e Representações Ltda,41250,165000,
469205000110,SOCIEDADE EDUCACIONAL LEONARDO DA VINCI,41250,165000,
88815295000103,Pirahy Alimentos Ltda,41250,165000,
51855716000101,Rodobens Administração de Consórcios Ltda,41250,165000,
3717227000140,NIPPONFLEX INDUSTRIA E COMERCIO DE COLCHOES LTDA. ,40750,163000,
61434288000105,Capuani do Brasil Ltda.,"40537,5",162150,
12006058000121,WEG Tintas Ltda.,40500,162000,
82873068000140,Genésio A. Mendes e Cia Ltda,40250,161000,
5439635000103,Antibióticos do Brasil Ltda.,40000,160000,
75801902000126,ROCA SANITARIOS BRASIL LTDA.,40000,160000,
62895230000113,CREDI - SHOP A/A - Administração de Cartões de Crédito,40000,160000,
5583142000142,INSTITUTO VOTORANTIM,40000,160000,
910456000199,Ambient Servisos Ambientais de Ribeirão Preto S/A.,40000,160000,
44023471000190,Tenneco Automotive Brasil Ltda.,40000,160000,
61186490000157,Editora FTD S/A,40000,160000,
55942312000106,Santerder Brasil Administradora de Consórcio Ltda.,40000,160000,
31452113000151,Clariant S/A,40000,160000,
14380750000140,SCOPUS SOLUÇÕES EM TI LTDA ,40000,160000,
7394072000100,Celta Holdings S.A.,40000,160000,
58088733000100,SABIC Innovative Plastics South America Industria e Comércio de Plásticos Ltda.,40000,160000,
81106957000119,Aldo Componentes Eletrônicos-,40000,160000,
52839420000160,Bonsucex Holding Ltda,40000,160000,
53503652000105,Construtora Sanches Tripoloni Ltda,40000,160000,
61037537000110,Hochtief do Brasil S.A.,40000,160000,
76359785000155,Seta Engenharia S.A.,"39768,9","159075,6",
53859112000169,Companhia Jaguari de Energia,39750,159000,
7791111000102,Maqnelson Agrícola Ltda ,39500,158000,
86532538000162,Eliane S. A. Revestimentos Cerâmicos,39475,157900,
87235297000152,Unique Rubber Technologies,39250,157000,
59134635000124,Indústria de Motores Anauger S/A,39000,156000,
61297784000156,LIOTECNICA - TECNOLOGIA EM ALIMENTOS LTDA ,39000,156000,
2351144000118,Tegma Gestão Logística Ltda.,39000,156000,
83475913000191,Portobello S/A,39000,156000,
7195358000166,UNICOC - UNIÃO DE CURSOS SUPERIORES LTDA,38750,155000,
76483817000120,Companhia Paranaense de Energia Elétrica - COPEL,38750,155000,
62432778000127,ISP DO BRASIL LTDA,38750,155000,
60884459000127,Montana Química ,38680,154720,
1452651000185,Taurus Distribuidora de Petróleo Ltda,"38554,85","154219,4",
5424008000107,Unilider Distribuidora S/A,38500,154000,
15126252000139,Cencoderma Instituição de Pesquisa e Desenvolvimento de Cosméticos Ltd,38500,154000,
22104045000149,FAZENDA BRASILEIRO DESENVOLVIMENTO MINERAL,38250,153000,
17184037000110,Banco Mercantil do Brasil S.A.,38200,152800,
1597589000209,Consigaz Distribuidora de Gás Ltda,38200,"152799,98",
2041460000193,BRASIL TELECOM COMUNICACAO MULTIMIDIA LTDA. ,37750,151000,
11536561000126,AUSTRAL RESSEGURADORA SA ,"37562,1","150248,4",
33381286000151,Supermercado Zona Sul S.A ,"37500,5",150002,
11805397000105,Beach Park Hotéis e Turismos S/A,37500,150000,
15104599000180,Sama S/A Minerações Associada,37500,150000,
44837524000107,Companhia Docas do Estado de São Paulo,37500,150000,
7563781000171,ALD AUTOMOTIVE LTDA,37500,150000,
60853264000110,Liderança Capitalização S.A.,37500,150000,
67945071000138,Gran Sapore BR Brasil S.A,37500,150000,
9053134000145,Elfa Medicamentos Ltda.,37500,150000,
23814940000110,Uberlândia Refresco Ltda,37500,150000,
2216876000103,Ge Hydro Inepar do Brasil S/A,37500,150000,
3485775000192,Companhia Muller de Bebidas,37500,150000,
17159518000175,Domigos Costa Industrias Alimentícias S.A,37500,150000,
4887625000178,Brasil Terminal Portuário S.A,37500,150000,
10220089000155,Lunender Textil Nordeste Ltda.,37500,150000,
24333411000167,Scalon & Cerchi Ltda,37500,150000,
4692027000143,"Luxottica Brasil Produtos Óticos e Esportivos Ltda._x000D_
",37500,150000,
84447804000204,J.Toledo da Amazônia Indústria e Comércio de Veículos Ltda.,37500,150000,
7880927000102,Dynamo Internacional Gestão de Recursos Ltda.,37500,150000,
4214934000187,Supermax Brasil Importadora S.A.,37500,150000,
29030467000166,Scotiabank Brasil S.A Banco Múltiplo,37500,150000,
45796554000185,SALOMAO E ZOPPI SERVICOS MEDICOS E PARTICIPACOES S/A,37500,150000,
779721000141,Cinemark Brasil S.A,37500,150000,
36357994000226,INterfood Importação Ltda,37500,150000,
12199337000159,Gelita do Brasil Ltda,37500,150000,
58851775000150,ITAU-BBA PARTICIPACOES S.A.,37500,150000,
88676127000176,Óleos Vegetais Planalto S.A - OLEOPLAN,37500,150000,
3669753000182,BrasFELS S.A,37500,150000,
5699871000169,Frigotil - Frigorífico Timon S/A,37500,150000,
7272615000116,LT Triângulo S.A,"37448,28","149793,1",
93586303000119,Agrogen S/A - Desenvolvimento Genético Ltda,"37368,35","149473,4",
40263170000183,Essencis Soluções Ambientais S/A,37100,148400,
76639285000177,Ferragens Negrão Comercial Ltda,37000,148000,
38733648000140,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,"36933,4","147733,6",
13434335000160,Rico Corretora de Títulos e Valores Mobiliários S.A.,"36862,5",147450,
58430828000160,Blau Farmaceutica S/A,"36689,26","146757,02",
73090482000191,PBC Comunicação Ltda,36500,146000,
61487799000187,Auto Viação Urubupungá Ltda.,36500,146000,
76494806000145,Rádio Emissoria Paranaense S.A,36250,145000,
94813102000170,Três Tentos Agroindustrial Ltda. ,36250,145000,
43594977000197,Galzerano Indústria de Carrinhos e Berços Ltda,36250,145000,
3137964000174,ORGANIZACAO PARAENSE EDUCACIONAL E DE EMPREENDIMENTOS LTDA,36000,144000,
3761677000130,CHEMSON LTDA.,"35998,5",143994,
310707000102,Rigesa do Nordeste S.A,35750,143000,
59588111000103,Banco Votorantim S.A.,35750,143000,
83261420000159,Bistek Supermercados Ltda,35500,142000,
5537536000164,Ecofor Ambiental S/A,"35449,66","141798,62",
59639278000156,Nível Indústria e Comércio de Confecções Ltda.,35000,140000,
5959240000131,TRD Comercializadora Ltda.,35000,140000,
7657789000105,Goemil SA Industria de Produtos Alimenticios,35000,140000,
19441249000160,CUTRALE TRADING BRASIL LTDA. ,35000,140000,
88618285000170,Tondo S.A,35000,140000,
76107770000108,Batavo Cooperativa Agroindustrial,35000,140000,
2279324000136,GDC - Alimentos S.A,35000,140000,
92341312000187,Basso. Pancotte & Cia Ltda,35000,140000,
21535691000106,Majic I Participações Ltda.,35000,140000,
3645657000102,Alibra Ingredientes Ltda.,35000,140000,
7436414000107,Embaúma Holdings Ltda,35000,140000,
77595395000147,Frimesa Cooperativa Central,"34991,25",139965,
2206577000180,"Luizacred S/A Soc. de Crédito, Financiamento e Investimento","34920,5",139682,
61310256000190,Eletrica Danúbio IND e Com de materiais eltétricos Ltda.,34250,137000,
60855608000120,Companhia Sul Paulista de Energia,34125,136500,
79719613000133,Editora Positivo Ltda,34000,136000,
93211084000193,Fitesa Naotecidos S.A,33750,135000,
21820014000121,Vacinar Indústria e Comércio Ltda,33750,135000,
11424050000112,Sicredi Fundos Garantidores,"33190,19","132760,74",
34484188000102,ELSYS EQUIPAMENTOS ELETRONICOS LTDA,33000,132000,
1142107000137,AQIA QUIMICA INDUSTRIAL LTDA,33000,132000,
46568226000194,METRO TECNOLOGIA INFORMATICA LTDA. ,32750,131000,
67729178000149,Comercial Cirúrgica Rioclarense Ltda.,"32562,81","130251,25",
72770878000117,Brasilux Tintas Técnicas Ltda.,32500,130000,
72058241000100,All Tech do Brasil Agroindustrial Ltda,32500,130000,
33100082000103,E. Tamussino & Cia. Ltda,32500,130000,
23245012000181,Rodoban Segurança e Transporte de Valores Ltda.,32500,130000,
1874166000108,Master ATS Supermercados LTDA,32500,130000,
1132478000138,Irmãos Andreazza Ltda,32500,130000,
17463456000190,Patrus Transportes Urgentes Ltda,32500,130000,
756149000103,RUFF CJ DISTRIBUIDORA DE PETRÓLEO LTDA,32500,130000,
3966583000106,DME ENERGETICA S.A. - DMEE ,32500,130000,
44207249000148,Usina Santa Lúcia S/A,32500,130000,
60850617000128,CNH Latin America Ltda,"32308,5",129234,
3970326000130,NORDESTE INDUSTRIA E COMERCIO LTDA ,32119,128476,
3920751000114,Supermercado Baratão de Alimentos Ltda,"32006,75","128026,98",
5111857000100,Deloitte Touche Outsourcing Serviços Contábeis e Administrativos,"31802,64","127210,55",
34028316000537,Empresa Brasileira de Correios eTelégrafos,31534,126136,
13501187000159,J.M.C. Materiais para Construção Ltda,"31509,51","126038,04",
44480747000160,Andorinha Supermercado Ltda.,31500,126000,
337109000119,Fazenda Planorte S.A,31400,125600,
18725804000113,Telemont Engenharia de Telecomunicações S/A,31250,125000,
46469748000139,Lojas Belian Moda Ltda.,31250,125000,
835301000135,Latapack Ball Embalagens Ltda.,31250,125000,
61576369000131,"Trench, Rossi e Watanabe Advogados",31250,125000,
183938000194,Gerdau BG Participações S/A,31250,125000,
34028316001002,Empresa Brasileira de Correios e Telégrafos,"31221,78","124887,12",
1612234000152,Concessionária da Rodovia dos Lagos S.A,"31173,28","124693,13",
46344354000669,Ajinomoto Brasil Indústria e Comércio de Alimentos Ltda.,30875,123500,
61409892000173,CBA Companhia Brasileira de Alumínio,"30825,75",123303,
90049792000181,Tramontina Garibaldi S.A - Indústria Metalúrgica,30750,123000,
6967059000130,Ceará Importados de Peças e Acessórios Ltda.,"30709,71","122838,82",
10965693000100,CS Brasil Transporte de Passageiros E Serviços Ambientais Ltda.,"30346,55","121386,2",
51427102000129,Tecnobrás Ind. e Comércio Ltda,30137,120548,
1317309000172,Distribuidora de Produtos de Petróleo Charrua Ltda,30125,120500,
61100145000159,Indiana Seguros S/A,30000,120000,
82637109000107,Baumgarten Gráfica Ltda.,30000,120000,
3640467000194,Supermercados Jau Serve Ltda.,30000,120000,
2644907000119,Impress Decor Brasil - Indústria de Papéis decorativos,30000,120000,
1554285000175,Certisign Certificadora Digital S.A,30000,120000,
40281347000174,Autotrac Comércio e Telecomunicações S.A,30000,120000,
76500180000132,Cia Providenciária Indústria e Comércio,30000,120000,
17155342000183,LOJA ELÉTRICA LTDA.,30000,120000,
92007459000135,Grato Agropecuaria Ltda,30000,120000,
4954351000192,SUBSEA7 DO BRASIL SERVICOS LTDA,30000,120000,
215548000159, GARANTIA REAL SERVICOS LTDA. ,30000,120000,
33040122000160,Indústria de Produtos Piraquê S.A.,30000,120000,
21551379000106,Becton Dickinson Indústrias Cirúrgicas Ltda.,30000,120000,
76700103000126,INPACEL - INDÚSTRIA DE PAPEL ARAPOTI S/A,30000,120000,
83054478000121,Adami S/A - Madeiras,30000,120000,
11623188000140,Armazem Coral Ltda,30000,120000,
6837645000160,Pintos Ltda,30000,120000,
59105999000186,Whirpool S.A. - Unidade de Eletrodomésticos ( Centro Administrativo),30000,120000,
3701380000180,Porto Belo Engenharia e Comercio Ltda,30000,120000,
42180406000143,Guerbet Produtos Radiológicos Ltda,30000,120000,
56813280000292,Manfrim Ind. e Com. Ltda.,30000,120000,
78588415000115,Companhia Cacique de Café Solúvel,30000,120000,
47144548000179,GTEL - Grupo Técnico de Eletromecânica S/A,30000,120000,
3785066000122,Real Distribuição e Logística Ltda.,30000,120000,
75633560000182,Cattalini Terminais Maritimos Ltda,"29989,41","119957,63",
15141799000103,Cia de Ferro Ligas da Bahia - Ferbasa,"29830,65","119322,6",
4568560000106,Daviso Ind e Com de Produtos Higienicos S/A,29825,119300,
42593962000141,Lubrizol do Brasil,"29625,81","118503,22",
45666419000115,Bom Peixe Indústria e Comércio Ltda.,29625,118500,
21635363000173,MARQUISE SERVICOS AMBIENTAIS S/A,"29623,15","118492,59",
1355994000121,Itá Energética S.A,29500,118000,
1317277000105,ITAPOA TERMINAIS PORTUARIOS S/A,"29349,25",117397,
45256997000183,Santa Helena Industria de Alimentos S.A,29250,117000,
53408860000125,Usina São Luiz S/A,29224,116896,
81170003000175,UNIMED DE CASCAVEL - COOPERATIVA DE TRABALHO MEDICO ,"29011,37","116045,46",
51014223000149,Sudameris Corretora de Câmbio e Valores Mobiliários S.A.,29000,116000,
60726692000181,Marjan Indústria e Comércio Ltda,29000,116000,
11521976000126,Austral Seguradora SA,"28975,59","115902,36",
511816000180,HOSPITAL PRONTONORTE S/A ,28750,115000,
6990590000123,GOOGLE BRASIL INTERNET LTDA,28750,115000,
62901210000108,BROTO LEGAL ALIMENTOS S/A,28750,115000,
75784140000105,AMAFIL - Indústria e Comércio de Alimentos Ltda. ,28750,115000,
2447678000142,Ganant Corretora de Seguros Ltda.,28750,115000,
68317817000121,Garantia Real Segurança Ltda.,28750,115000,
32951535000134,Eletromar Móveis e Eletrodomesticos Ltda.,28750,115000,
15484093000144,ECO101 CONCESSIONARIA DE RODOVIAS S/A ,28500,114000,
17354911000110,Cotação Distribuição de Títulos e Valores Mobiliários  S/A ,"28428,13","113712,5",
10693693000107,Cartondruck Gráfica Ltda.,28250,113000,
76635689000192,OVD IMPORTADORA E DISTRIBUIDORA LTDA,28125,112500,
82110818000121,Alfa Transportes,28044,112176,
43054261000105,KLUBER LUBRICATION LUBRIFICANTES ESPECIAIS LTDA,27700,110800,
907845000165,Tyco Electronics Brasil Ltda,"27674,21","110696,83",
89716195000184,Frohlich S/A. Indústria e Comércio de cereais,"27642,6","110570,4",
20495149000104,Prodoestes Veículos e Serviços Ltda.,27500,110000,
50585090000106,BCV - Banco de Crédito e Varejo S/A,27500,110000,
27901222000131,J BADIM S/A,27500,110000,
14117458000130,CEABS SERVICOS S.A.,27500,110000,
33043951000105,IFF Essências e Fragancias Ltda,27500,110000,
1382421000197,BBV ADMINISTRADORA DE CORTÕES,27500,110000,
72050636000159,Cerâmica Atlas Ltda,27500,110000,
95422218000140,Metalúrgica Mor S.A.  ,27500,110000,
49934250000198,Inox - Tech Comercio de Aço Inoxidaveis Ltda.,27500,110000,
77837979000181,Agrícola Horizonte Ltda,"27431,86","109727,42",
56794852000152,Good Bom Supermercados Ltda,"27344,92","109379,68",
73516106000116,Herval Adminastradora de Consórcios Ltda.,27250,109000,
1165165000186,Impextraco Latin America Comércio e Indústria de  Produtos para nutrição ,"27097,5",108390,
86981966000172,ESMALGLASS DO BRASIL LTDA,26750,107000,
60579703000148,Empresa Folha da Manhã S.A.,26500,106000,
2351006000139,Greca Distribuidora de Aslfaltos Ltda,26250,105000,
14388334000199,Paraná Banco S/A,26250,105000,
40561649000104,Terminal Portuário Cotegipe,26250,105000,
19795665000167,Nova Era Silicon S/A,26125,104500,
9614276000134,M4 PRODUTOS E SERVICOS S.A. ,"26039,94","104159,74",
6975199000150,Teleperformance CRM S/A,25750,103000,
50268838000139,SARAIVA EDUCACAO LTDA,"25554,71","102218,85",
53045266000117,Jad Zogheib e Cia Ltda.,25500,102000,
4992740000102,Diamaju Agrícola Ltda.,25500,102000,
9294054000181,Ecoosasco Ambiental S/A,"25316,68","101266,71",
29067113000196,Polimix Concreto Ltda,25250,101000,
55257059000151,Transamérica Expo-Center Ltda.,25125,100500,
58456336000143,Y & R Propaganda Ltda,25000,100000,
17312448000143,Tracbel S/A,25000,100000,
2176615000107,Bio Extratus Cosmetic Natural Ltda.,25000,100000,
42276907000128,VLI MULTIMODAL S.A.,25000,100000,
86900925000104,USAFLEX  Indústria e Comércio S.A.,25000,100000,
1801906000178,The Boston Consulting Group Brasil Ltda.,25000,100000,
8469511000169,CA Programas de Computador Participações e Serviços Ltda,25000,100000,
17245028000353,Cera Ingleza Indústria e Comércio Ltda.,25000,100000,
83684191000185,Frame Madeiras Especias LTDA.,25000,100000,
53309795000180,Morlan S.A,25000,100000,
54625819000173,Eaton Ltda.,25000,100000,
84453844000188,TELLERINA COMÉRCIO DE PRESENTES E ARTIGOS PARA DE CORAÇÃO S/A ,25000,100000,
5393234000321,OUROLUX COMERCIAL LTDA,25000,100000,
87163234000138,Sabemi Seguradora S.A,25000,100000,
900441000140,MSX International do Brasil LTDA,25000,100000,
76515071000199,Servopa Administradora de Consórcio S/C Ltda.,25000,100000,
96736350000190,Ferramentas Gedore do Brasil S.A,25000,100000,
68102011000116,ICC INDUSTRIAL COMERCIO EXPORTACAO E IMPORTACAO LTDA ,25000,100000,
48775191000190,Hunter Douglas do Brasil Ltda,25000,100000,
66471517000177,DPC Distribuidor Atacadista S/A,25000,100000,
24018258000183,PRODIEL SIMM ENERGIAS RENOVAVEIS LTDA,25000,100000,
42421776000125,Fiat Adm. de Consórcios Ltda.,25000,100000,
60259827000146,JLT BRASIL CORRETAGEM DE SEGUROS LTDA ,25000,100000,
3078261000112,Habitasul Desenvolvimentos Imobiliários Ltda,25000,100000,
3571723000139,PETROGAL BRASIL S.A. ,25000,100000,
5032035000126,Recovery do Brasil Consultoria S.A.,25000,100000,
2283939000136,SOLUTIA BRASIL LTDA,25000,100000,
1107391000100,Support Produtos Nutricionais Ltda.,25000,100000,
1650515000108,MARTINELLI ADVOCACIA EMPRESARIAL,25000,100000,
61186680000174,Banco BMG S.A.,25000,100000,
81676009000119,GIRANDO COMÉRCIO DE PEÇAS LTDA,25000,100000,
8347366000143,Verzani & Sandrini Administração de mão-de-obra efetiva LTDA,25000,100000,
94261534000115,Docile Alimentos Ltda.,25000,100000,
7746953000142,Luizaseg Seguros S.A,25000,100000,
11841434000130,Liber Conservação e Serviços Gerais Ltda.,25000,100000,
2235994000150,Arcelor Mittal Govarri de Brasil Produtos S.A ,25000,100000,
1511345000172,TS TECH DO BRASIL LTDA,25000,100000,
80798499000163,"Ferrari, Zagatto e CIA. LTDA.",25000,100000,
5303481000128,Unigel Química S/A,25000,100000,
3023840000168,OMR Componentes Automotivos Ltda,25000,100000,
3946067000101,KWS MELHORAMENTO E SEMENTES LTDA,25000,100000,
8769874000110,CDF Central de Funcionamento Tecnologia e Participações S.A.,25000,100000,
61562112000120,Pricewaterhouse Coopers Auditores Independentes,25000,100000,
2955426000124,Castellar Engenharia Ltda,25000,100000,
4043327000100,GTS do Brasil Ltda.,25000,100000,
4659917000153,C.G.T.F Central Geradora Termelétrica Fortaleza S.A,25000,100000,
6228648000104,FORTGREEN - COMERCIAL AGRICOLA LTDA,25000,100000,
75293662000104,Altemburg Indústria Têstil Ltda,25000,100000,
42593061000150,Elkem Participações Industria e Comercio Ltda,25000,100000,
34265561000134,BMG - Leasing S.A. Arrendamento Mercantil,25000,100000,
7576952000105,Ypióca Águas Minerais Indústria e Comércio Ltda ,25000,100000,
51693299000148,Shopping Centers Reunidos do Brasil Ltda.,25000,100000,
61652608000195,Tramontina Sudeste S.A,25000,100000,
83665141000150,Setep Construções S/A,25000,100000,
7674341000191,Usina Uberaba S/A,25000,100000,
1540533000129,Companhia Thermas do Rio Quente,25000,100000,
50949528000180,Astra S.A. Indústria e Comércio,24860,99440,
9296063000101,Oi Serviços Financeiros S.A,"24836,25",99345,
22685341000695,Lima & Pergher Ind. Com. e Rep. Ltda. ,"24791,14","99164,54",
43214055000107,Martins Com. e Serviços de Distribuição S.A.,24750,99000,
7063698000133,Arval Brasil,24706,98824,
88674080000101,FORJASUL S/A,24625,98500,
9137429000108,Boulevard Shopping Belem S.A.,"24322,95","97291,79",
57235426000141,INTEGRALMEDICA SUPLEMENTOS NUTRICIONAIS S/A ,"24291,5",97166,
13220493000117,BR PARTNERS BANCO DE INVESTIMENTO S.A.,24250,97000,
5928246000141,Coplasa Açucar e Alcool Ltda.,"24239,95","96959,78",
4576105000144,Spheros Climatização so Brasil S/A,24000,96000,
776908000191,De Nora do Brasil Ltda.,"23954,25",95817,
46958948000155,Indústria de Transformadores Itaipú Ltda,23750,95000,
7523555000167,Endesa Brasil S.A,23750,95000,
38000485000196,HOSPITAL MARIA AUXILIADORA S/A ,23750,95000,
7814284000107,Castelo Alimentos S/A,23750,95000,
24956658000130,Posto Aldo Cuiabá Ltda.,23750,95000,
72116353000162,Dynamo Administração de Recursos Ltda.,23750,95000,
42985218000192,Comercial Gala Ltda.,23675,94700,
68149228000181,Brascabos Componentes Elétricos e Eletrônicos Ltda.,23500,94000,
62285390000140,Socopa Sociedade Corretora Paulista Ltda,23500,94000,
60889128000180,Banco Sofisa S.A.,23500,94000,
2013199000118,Concessionaria Aguas de Juturnaiba S/A,23500,94000,
17161241000115,MINAS MAQUINAS S.A,23500,94000,
91494765000180,E. Orlando Roos & Cia Ltda,"23381,62","93526,47",
2727724000167,São Francisco Odontologia Ltda.,"23179,27","92717,09",
84911098000129,Ademilar Administradora de Consórcios S.A.,23000,92000,
5380369000190,Fan Distribuidora de Petróleo Ltda.,"22969,7","91878,81",
5352237000155,ECOM ENERGIA LTDA.,22675,90700,
62652961000138,Agência Estado LTDA,22500,90000,
60770336000165,Banco Alfa de Investimentos S.A,22500,90000,
93489243000116,Comercial  Buffon Combustíveis e Trasportes Ltda,22500,90000,
41426966000172,J. Alves e Oliveira Ltda.,22500,90000,
7718633000189,UNIDASUL DISTRIBUIDORA ALIMENTICIA S/A ,22500,90000,
395988001450,ITAIPU BINACIONAL,22500,90000,
4222428000130,Coimpa Industrial Ltda,22500,90000,
416968000101,Intermédium  Crédito Financiamento e Investimmento S.A,22500,90000,
19537471000161,USA - USINA SANTO ÂNGELO LTDA,22500,90000,
44914992000138,Rodonaves Tranportes e Encomendas Ltda,22500,90000,
61090619000129,Mitsubishi Corporation Brasil S.A.,22500,90000,
1410577000134,Guardian do Brasil Vidros Planos Ltda,22500,90000,
465813000157,DAKOTA NORDESTE S/A,22500,90000,
1968283000122,Brasilmad Trading Company S/A,22500,90000,
65124307000140,Organização Verdemar Ltda.,"22387,36","89549,45",
7705530000184,Mixer Atac. e Varejo de Gêneros Alimentícios Ltda,"22370,58","89482,33",
4814563000174,Sorocred Administradora de Cartões de Crédito Ltda.,"22295,46","89181,83",
1824763000110,PQ SILICAS BRAZIL LTDA.,"22275,38","89101,5",
60078045000100,CFL PARTICIPACOES S.A.,22250,89000,
83495275000170,Construtora Stein Ltda.,"22163,3","88653,2",
17256512000116,Drogaria Araújo S/A,"22158,86","88635,42",
73709958000120,GUAIBA QUIMICA INDUSTRIA E COMERCIO LTDA ,"22124,96","88499,84",
76995984000150,Instaladora de Materiais Elétricos Vividense Ltda.,"22107,33","88429,32",
2380162000128,Concessionária de Rodovias Tebe S/A.,22000,88000,
33010786000187,CITROSUCO S/A AGROINDUSTRIA,21995,87980,
3384738000198,Votorantim Asset Management DTVM,"21652,5",86610,
3323840000183,Banco Alfa S/A,21500,86000,
84685106000166,Franklin Electric Industria de Motobombas S.A.,21500,86000,
4485217000190,PETRO ENERGIA INDUSTRIA E COMERCIO LTDA,21500,86000,
997185000150,BANCO BM&F DE SERVICOS DE LIQUIDACAO E CUSTODIA S.A. ,21250,85000,
80680093000181,Senior Sistemas S/A,21250,85000,
7205768000140,Queiróz Comércio e Participações Ltda.,21250,85000,
90852914000173,MASTER SISTEMAS AUTOMATIVOS,21250,85000,
61327045000160,Isapa Importação e Comércio Ltda,21250,85000,
4406746000150,Indústria de Fertilizantes Atlântico Ltda,21250,85000,
91982496000100,Cotripal Agropecuária Coperativa,21250,85000,
10851805000100,Flex Contact Center Atendimento A clientes E tecnologia LTDA,21250,85000,
75552133000170,Lunender Indústria Têxtil LTDA.,21250,85000,
92544196000101,Industria de Implagricolas Vence Tudo Importação e Exportação Ltda,21250,85000,
5345379000195,Portobello Shop S/A,"21170,09","84680,37",
51894202000165,Daterra - Atividades Rurais Ltda.,21075,84300,
2185091000102,Octaviano Zandonai & Cia Ltda,21000,84000,
332087000102,Security Vigilância Patrimonial Ltda.,21000,84000,
75069849000110,Demobile - Indústria de Móveis Ltda.,20750,83000,
79230678000110,JOFUND S/A ,"20649,11","82596,44",
94638392000162,Medabil Sistemas Construtivos S/A,20625,82500,
91897876000138,Bremil Indústria de Produtos Alimentícios Ltda,20500,82000,
24896425000199,Luiz Tonin Atacadista e Supermercados S.A.,20000,80000,
94846755000155,Supermercados Guanabara Ltda,20000,80000,
20758306000119,TURQUEZA TECIDOS E VESTUARIOS S/A,20000,80000,
3252545000183,Hercosul Alimentos Ltda,20000,80000,
7981720000124,"MARISOL COMERCIAL DE VESTUÁRIO LTDA_x000D_
",20000,80000,
2608224000106,Canal Brazil S.A,20000,80000,
62045026000103,Óleos Menu Indústria e Comércio Ltda.,20000,80000,
76108349000103,Castrolandia Cooperativa Agroindustrial Ltda.,20000,80000,
37523586000189,Posto Rondonópolis Locatelli Ltda.,20000,80000,
11701319000160,MINAS MAIS ALIMENTOS LTDA,20000,80000,
517645000104,Banco Ribeirão Preto S.A,20000,80000,
2905110000128,GR S.A,20000,80000,
89848543000177,Lojas Colombo S.A. Comércio de Utilidades Domésticas,20000,80000,
